company,amount_raised,round,investors_participated,date_announced,website,description,city,official_sector,secondary_sector,tertiary_sector,SIREN
Idealys,2500000,Series A,,2024-10-24,https://www.idealys.fr,"Idealys operates in sectors such as interior design, publishing, and software, providing products and services that leverage its expertise in these areas.",Montpellier,Other,,,
Usual,2500000,Series A,"Amber Group, Arthur Cheong, DCF GOD, Dewhales Capital, Fernando Martinelli, Fourth Revolution Capital, Georgios Vlachos, Julien Bouteloup",2024-05-15,https://usual.money/,"Usual operates in sectors such as cryptocurrency, decentralized finance, and financial services, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,
Ask for the Moon,2500000,,"Matterwave Ventures, UI Investissement",2024-03-06,https://home.askforthemoon.com/,"Ask for the Moon operates in sectors such as artificial intelligence, information technology, and machine learning, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,SpaceTech & Aerospace,,
Consortium BoatYard Project,2400000,Pre-Seed,,2024-03-01,https://www.linkedin.com/company/boatyard-consortium-project,"Consortium BoatYard Project operates in sectors such as boating, manufacturing, and marine technology, providing products and services that leverage its expertise in these areas.",Cannes,Mobility,,,
Qommute,2400000,,Re-sources Capital,2024-05-30,https://qommute.com/,"Qommute operates in sectors such as business information systems, consulting, and enterprise applications, providing products and services that leverage its expertise in these areas.",Marseille,Mobility,,,
Cixten,2300000,Seed,"Ademe, Bpifrance, Capital Grand Est, Noria Invest, Région Grand Est",2024-09-15,https://www.cixten.fr,"Cixten operates in sectors such as industrial, manufacturing, and recycling, providing products and services that leverage its expertise in these areas.",Sancey-le-grand,Hardware,CleanTech,,
Drama Studios,2300000,Seed,The Games Fund,2024-09-12,https://studiosdrama.com,"Drama Studios operates in sectors such as online games, pc games, and video games, providing products and services that leverage its expertise in these areas.",Rennes,Entertainment,Gaming,,
RMAN Sync,2300000,Seed,"CEN Capital, Normandie Participations",2024-12-20,https://rman-sync.com,"RMAN Sync operates in sectors such as artificial intelligence, seo, and software, providing products and services that leverage its expertise in these areas.",Bretteville-sur-odon,Artificial Intelligence,MarTech,,
Metyos,2300000,Pre-Seed,"Advans, Bpifrance, Cenitz, Kima Ventures",2024-03-26,https://www.metyos.com,"Metyos operates in sectors such as medical and medical device, providing products and services that leverage its expertise in these areas.",Paris,MedTech,,,
Merci Julie,2300000,,"Banque des Territoires, BNP Paribas, Région Ile-de-France",2024-04-02,https://www.merci-julie.fr,"Merci Julie operates in sectors such as elder care, health diagnostics, and therapeutics, providing products and services that leverage its expertise in these areas.",Fontenay-sous-bois,HealthTech,MedTech,BioTech,
QiOVA,2250000,Series A,"Crédit Agricole Lhl Capital Innovation, KREAXI, Neyret, UI Investissement",2024-06-04,https://www.qiova.fr/,"QiOVA operates in sectors such as electronics, laser, and manufacturing, providing products and services that leverage its expertise in these areas.",Andrézieux,Hardware,,,
Bridge.audio,2250000,Seed,"Bpifrance, LeanSquare",2024-07-01,https://www.bridge.audio/,"Bridge.audio operates in sectors such as audio, music, and saas, providing products and services that leverage its expertise in these areas.",Paris,SaaS,Entertainment,,
Bib batteries,2200000,Seed,"Family Ventures, Next Gear Ventures, Super Capital VC, Techstars, Wendel Family Office",2024-09-10,https://bib-batteries.com/,"Bib batteries operates in sectors such as automotive, b2b, and information services, providing products and services that leverage its expertise in these areas.",Paris,Other,Mobility,,
Wooskill,2200000,Seed,,2024-05-20,https://www.wooskill.com,"Wooskill operates in sectors such as content creators, edtech, and marketplace, providing products and services that leverage its expertise in these areas.",Paris,E-commerce & Retail,,,
Estuaire,2200000,Seed,"AFI Ventures, Safran Corporate Ventures, Satgana, XAnge",2024-06-25,https://estuaire.dev,"Estuaire operates in sectors such as aerospace and greentech, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,SpaceTech & Aerospace,,
Swaive,2200000,Pre-Seed,"Aglaé Ventures, Alexis Bonillo, Benoit Grassin, Better Angle, Charles Sutton, Edward Lando, Kima Ventures, Mark Ransford, Motier Ventures, Quentin Vigneau, Steve Rjeily",2024-07-11,https://swaive.fr,"Swaive operates in sectors such as finance and financial services, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,
Orus Energy,2200000,Pre-Seed,"Asterion Ventures, b2venture, Myriam Maestroni, Pierre Tremolieres, Ring Capital",2024-07-05,https://www.orus-energy.com/,"Orus Energy operates in sectors such as electrical distribution and energy management, providing products and services that leverage its expertise in these areas.",Paris,Energy,,,
Fungiball,2200000,Pre-Seed,"Adrien Dassault, Bpifrance, Cliff Capital, Stephan Altmüller",2024-10-23,https://fungiball.io,"Fungiball operates in sectors such as computer and video games, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,Gaming,,
Actionable,2200000,Pre-Seed,"Arthur Querou, Aurélien Georget, Axeleo Capital, Emilien Eychenne, Guillaume Grimbert, Mathieu Azorin, Stéphane Distinguin, Xavier Mariani",2024-09-10,https://actionable.live/,"Actionable operates in sectors such as artificial intelligence, crm, and information technology, providing products and services that leverage its expertise in these areas.",Nancy,Artificial Intelligence,,,
Campsider,2100000,Seed,"Fair equity, Founders Future, Inovexus, Machame, Xavier Le Guen",2024-01-15,https://www.campsider.com,"Campsider operates in sectors such as e-commerce, shopping, and sporting goods, providing products and services that leverage its expertise in these areas.",Annecy,Artificial Intelligence,E-commerce & Retail,,
Alvie,2100000,Seed,"Beangels, Better Angels Ventures, Christian Couturier, Climate Club, Damien Lepoutre, Francis Nappez, Guillaume Jourdain, Jean-Paul Devey, Jeriko, Jérôme Gallois, Leia Capital, Tilia Impact Ventures",2024-12-19,https://www.alvie.fr/,"Alvie operates in sectors such as consulting, farming, and information services, providing products and services that leverage its expertise in these areas.",Paris,AgriTech,,,
BatiFire,2100000,,CITA Investissement,2024-09-20,https://www.batifire.fr,"BatiFire operates in sectors such as public safety, risk management, and security, providing products and services that leverage its expertise in these areas.",Méry,Other,,,
Aprex Solutions,2100000,,"Banque Populaire Alsace Lorraine Champagne, BNP Paribas, Bpifrance, Crédit Industriel et Commercial, HAND PARTNERS, Mermoz group, Paris Business Angels, YEAST",2024-07-05,https://aprex-solutions.com,"Aprex Solutions operates in sectors such as computer vision, hardware, and software, providing products and services that leverage its expertise in these areas.",Nancy,Hardware,Artificial Intelligence,,
NRJx,2000000,Seed,"Bpifrance, Ring Capital",2024-09-23,https://www.nrjx.tech,"NRJx operates in sectors such as analytics, energy management, and software, providing products and services that leverage its expertise in these areas.",La Rue,Energy,,,
genOTC,2000000,Seed,,2024-09-04,http://genotc.com,"genOTC operates in sectors such as accounting, asset management, and banking, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,
Ultrawatt,2000000,Seed,"Lycée Boissy d'Anglas, Sofimac Investment Managers, UI Investissement",2024-10-04,https://pro.ultrawatt.fr,"Ultrawatt operates in sectors such as architecture and construction, providing products and services that leverage its expertise in these areas.",Lyon,PropTech,,,
Seedext,2000000,Seed,"Bertrand Peyrat, Eric Valat, Guillaume Sarkozy, Hugo Hamad, Tomcat",2024-10-08,https://seedext.com,"Seedext operates in sectors such as artificial intelligence, productivity tools, and saas, providing products and services that leverage its expertise in these areas.",Paris,SaaS,Artificial Intelligence,,
Highcast,2000000,Seed,"AFI Ventures, CentraleSupélec Venture, François Régis Déhéry, laurent courtois, Super Capital VC, Vincent Bryant",2024-10-09,https://www.highcast.co,Highcast is a company specializing in software solutions.,Nanterre,Other,,,
SteerLight,2000000,Seed,"LIFTT, Quantonation, Stellantis Ventures",2024-03-20,https://steerlight.com/,"SteerLight operates in sectors such as 3d technology, manufacturing, and semiconductor, providing products and services that leverage its expertise in these areas.",Grenoble,Hardware,,,
Viti-Tunnel,2000000,Seed,Demeter,2024-06-03,https://viti-tunnel.com,"Viti-Tunnel operates in sectors such as agtech and manufacturing, providing products and services that leverage its expertise in these areas.",Le Haillan,AgriTech,,,
TurnK,2000000,Seed,"GSO Innovation, IRDI SORIDEC Gestion",2024-06-04,https://turnk.co,TurnK is a company providing innovative solutions in its industry.,Bordeaux,Other,,,
Midipile Mobility,2000000,Seed,"Ademe, ADI Nouvelle-Aquitaine, Arts et Métiers Business Angels, Bpifrance, Chaudronnerie Lespinasse, Team for the Planet, WeLike",2024-06-05,https://midipile.eu,"Midipile Mobility operates in sectors such as delivery, last mile transportation, and logistics, providing products and services that leverage its expertise in these areas.",Angoulême,Mobility,,,
WaltR,2000000,Seed,"Central Innovation, Expansion Ventures, Groupe ADP, Pays de la Loire Participations, SpaceFounders",2024-03-22,https://waltr.fr/home.html,"WaltR operates in sectors such as environmental consulting and pollution control, providing products and services that leverage its expertise in these areas.",Pompertuzat,CleanTech,,,
Foodflow,2000000,Seed,"Jérémy Gotteland, Jeriko, Nicolas Schweitzer, Pareto Holdings",2024-03-04,https://foodflow.fr,"Foodflow operates in sectors such as food and beverage, food processing, and restaurants, providing products and services that leverage its expertise in these areas.",Paris,Mobility,FoodTech,,
Agnostic,2000000,Seed,"Atka, BlueYard Capital, Dominance Ventures, Kima Ventures, Stake Capital Group, TRGC",2024-03-04,https://agnostic.dev,"Agnostic operates in sectors such as analytics, blockchain, and database, providing products and services that leverage its expertise in these areas.",Paris,Mobility,Web3,,
Blue Water Intelligence,2000000,Seed,,2024-05-21,https://bwi.earth,"Blue Water Intelligence operates in sectors such as environmental consulting, machine learning, and software, providing products and services that leverage its expertise in these areas.",Toulouse,CleanTech,Artificial Intelligence,,
Bolero,2000000,Seed,"Belgian rapper, Frederic Montagnon, Le Motif, Newfund, Petit Biscuit, Reda Berrehili, Sebastien Borget, Thierry Boyer, XVC Tech",2024-02-26,https://www.boleromusic.com,"Bolero operates in sectors such as blockchain, fintech, and music, providing products and services that leverage its expertise in these areas.",Paris,FinTech,Web3,Entertainment,
OSMOS X,2000000,Seed,"Audacia, RYMD Kapital",2024-06-12,https://www.osmos-x.com,"OSMOS X operates in sectors such as aerospace and manufacturing, providing products and services that leverage its expertise in these areas.",Rennes,SpaceTech & Aerospace,,,
Blue Capsule Technology,2000000,Seed,"Audacia, CEA Investissement, EREN Groupe, Exergon",2024-07-04,https://www.bluecapsule-technology.com/,"Blue Capsule Technology operates in sectors such as energy, energy efficiency, and nuclear, providing products and services that leverage its expertise in these areas.",Aix-en-provence,Energy,,,
Proteme,2000000,Seed,,2024-11-08,https://www.proteme.fr/,"Proteme operates in sectors such as food and beverage, food processing, and organic food, providing products and services that leverage its expertise in these areas.",Palaiseau,Mobility,FoodTech,,
3 Les Trois Tricoteurs,2000000,Seed,"Autonomie et Solidarité, Segard Masurel",2024-05-01,https://lestroistricoteurs.fr,"3 Les Trois Tricoteurs operates in sectors such as fashion and textiles, providing products and services that leverage its expertise in these areas.",Roubaix,E-commerce & Retail,,,
Klineo,2000000,Seed,Bpifrance,2024-04-29,http://www.klineo.fr,"Klineo operates in sectors such as clinical trials, health care, and hospital, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,BioTech,,
Wineriz,2000000,Seed,"Evolem Start, SideAngels",2024-06-21,https://www.wineriz.com,"Wineriz operates in sectors such as crm, direct sales, and e-commerce, providing products and services that leverage its expertise in these areas.",Bordeaux,SaaS,E-commerce & Retail,,
Abraxio,2000000,Seed,"Crédit Agricole Création, Evolem Start, Franck Dunière, Jean Paul Genoux",2024-04-17,https://abraxio.com,"Abraxio operates in sectors such as information technology and software, providing products and services that leverage its expertise in these areas.",Lyon,Other,,,
Objow,2000000,Seed,"Bpifrance, Crédit Agricole Création, Edenred Capital Partners, Holnest, HUB612",2024-12-05,https://www.objow.com,"Objow operates in sectors such as mobile apps, saas, and software, providing products and services that leverage its expertise in these areas.",Lyon,SaaS,,,
Dashbook,2000000,Seed,Seventure Partners,2024-12-08,https://dashbook.fr,Dashbook is a company specializing in books solutions.,Comberjon,Other,,,
Nijta,2000000,Pre-Seed,"Elaia, Finovam Gestion",2024-03-11,https://nijta.com,Nijta is a company specializing in web development solutions.,Lille,Mobility,,,
Veeton,2000000,Pre-Seed,"Armilar Venture Partners, Founders Future, Julien Chaumond, Kima Ventures, Thibaud Elziere, Xavier Court, ZEBOX Ventures",2024-06-07,https://veeton.com,"Veeton operates in sectors such as artificial intelligence, fashion, and photography, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
Edonia,2000000,Pre-Seed,"Asterion Ventures, Bpifrance Large Venture",2024-04-24,https://www.edonia.eu,"Edonia operates in sectors such as food and beverage, food processing, and plant-based foods, providing products and services that leverage its expertise in these areas.",Palaiseau,Mobility,FoodTech,,
WeKare,2000000,Series A,,2024-10-29,https://www.wekare.eu,"WeKare operates in sectors such as commercial and rental property, providing products and services that leverage its expertise in these areas.",Orléans,PropTech,,,
Detective Box,2000000,,,2024-10-04,https://detectivebox.com,"Detective Box operates in sectors such as gamification, gaming, and video games, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,Gaming,,
Nanomade,2000000,,,2024-05-22,https://www.nanomade.com,"Nanomade operates in sectors such as consumer electronics, crm, and hardware, providing products and services that leverage its expertise in these areas.",Toulouse,Robotics,Hardware,,
United Visual Researchers,2000000,,GO CAPITAL,2024-04-19,http://www.united-vr.com,United Visual Researchers is a company specializing in information technology solutions.,Laval,Other,,,
Praxy.ai,1900000,Seed,WeLikeStartup,2024-09-01,https://praxysante.fr,"Praxy.ai operates in sectors such as artificial intelligence, health care, and saas, providing products and services that leverage its expertise in these areas.",La Garenne-colombes,HealthTech,Artificial Intelligence,SaaS,
XPerience.immo,1900000,Seed,"BNP Paribas, Bpifrance, Holnest, One Maker Nation Partners, Societe Generale",2024-03-08,https://xp.immo,"XPerience.immo operates in sectors such as financial services and real estate, providing products and services that leverage its expertise in these areas.",Bègles,FinTech,PropTech,,
Kotzilla,1900000,Seed,Serena,2024-05-20,https://kotzilla.io/,"Kotzilla operates in sectors such as information technology and software, providing products and services that leverage its expertise in these areas.",Toulouse,Other,,,
Dyor Exchange,1900000,Seed,"Castrum Capital, CSP DAO, DuckDAO, Unizen, Zephyrus Capital, Zero Sevenone Labs",2024-02-21,https://dyor.exchange,Dyor Exchange is a company providing innovative solutions in its industry.,La Turbie,Other,,,
Dipeeo,1800000,Seed,"BNP Paribas Développement, Hi Inov - Dentressangle, Soul invest",2024-05-15,https://www.dipeeo.com,"Dipeeo operates in sectors such as business development and saas, providing products and services that leverage its expertise in these areas.",Paris,SaaS,,,
Libertify,1800000,Seed,Angels Family Offices,2024-05-05,https://www.libertify.com,"Libertify operates in sectors such as artificial intelligence, b2b, and marketing automation, providing products and services that leverage its expertise in these areas.",Paris,SaaS,Artificial Intelligence,Robotics,
NectarGo,1800000,Seed,"50 Partners, Evolem Start, Frederic Halley, GMZ & Son's, High Flyers Capital, Olivier Dauvers, Philippe Brochard",2024-06-18,https://www.nectargo.fr,"NectarGo operates in sectors such as agriculture, logistics, and supply chain management, providing products and services that leverage its expertise in these areas.",Lille,AgriTech,Mobility,,
Planisense,1800000,,Stéphane Aubin,2024-02-28,https://planisense.com,"Planisense operates in sectors such as enterprise software, industrial design, and logistics, providing products and services that leverage its expertise in these areas.",Paris,Mobility,SaaS,,
SUN ZU Lab,1700000,Seed,"Elaia, FunFair Ventures, Tim Draper",2024-01-16,https://sunzulab.com,"SUN ZU Lab operates in sectors such as analytics, cryptocurrency, and information technology, providing products and services that leverage its expertise in these areas.",Metz,Web3,,,
Memorizer,1700000,Seed,,2024-05-31,https://memorizer.ai/,"Memorizer operates in sectors such as artificial intelligence, generative ai, and image recognition, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
NomadHer,1700000,Seed,"Cosnet Technology Investment, K- Bridge Investment, Korea Credit Guarantee Fund",2024-12-27,https://www.nomadher.com,"NomadHer operates in sectors such as hospitality, tourism, and travel, providing products and services that leverage its expertise in these areas.",Paris,TravelTech,,,
Steerlab,1700000,Pre-Seed,"Dreamcraft Ventures, Heartfelt Capital, Lumière AI Ventures, STATION F",2024-09-03,https://steerlab.ai,"Steerlab operates in sectors such as artificial intelligence, b2b, and enterprise software, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,SaaS,,
Cognyx,1700000,Pre-Seed,"Arno Zinke, Bpifrance Digital Venture, Christophe Raynaud, Ning Li, Philippe Varin, Roxanne Varza, Simon Dawlat",2024-07-03,https://cognyx.io,"Cognyx operates in sectors such as database, manufacturing, and software, providing products and services that leverage its expertise in these areas.",Neuilly-sur-seine,Hardware,,,
Phospho,1700000,Pre-Seed,"Elaia, Julien Chaumond, Mehdi Ghissassi, Sébastien Lafond, Y Combinator",2024-01-17,https://phospho.ai,"Phospho operates in sectors such as artificial intelligence, information technology, and software, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
PimpUp,1700000,Series A,,2024-11-15,https://www.pimpup-antigaspi.fr,"PimpUp operates in sectors such as food and beverage, food processing, and fruit, providing products and services that leverage its expertise in these areas.",Montpellier,Mobility,FoodTech,,
B2eBike,1700000,,"Angelor, Bpifrance, Caisse d'Epargne Rhone Alpes, KREAXI, Pajol Participations, Societe Generale, Veymont Participations",2024-01-04,http://b2ebike.com,"B2eBike operates in sectors such as advice, electric vehicle, and sustainability, providing products and services that leverage its expertise in these areas.",Lyon,Mobility,CleanTech,,
Stern Tech,1604000,Seed,"AAPS AVOCATS, Audrey Guazzone, Bpifrance, Expaceo, François Segot, Google for Startups, Julien Boyer, Pierre Mazières, Réseau Entreprendre, Trebeyou",2024-02-01,https://stern.tech,"Stern Tech operates in sectors such as apps, artificial intelligence, and automotive, providing products and services that leverage its expertise in these areas.",La Celle-saint-cloud,SaaS,Artificial Intelligence,Mobility,
Pinpo,1600000,Series A,CNP Assurances,2024-06-21,https://www.pinpo.com,"Pinpo operates in sectors such as artificial intelligence, machine learning, and saas, providing products and services that leverage its expertise in these areas.",Paris,SaaS,Artificial Intelligence,,
Sportyneo,1600000,Seed,"Groupama, Obiz",2024-01-10,https://sportyneo.com,"Sportyneo operates in sectors such as payments, sports, and sports leagues and teams, providing products and services that leverage its expertise in these areas.",Villeneuve-de-berg,FinTech,,,
Live Me Up,1600000,Seed,Bpifrance,2024-01-19,https://www.livemeup.io/,Live Me Up is a company providing innovative solutions in its industry.,Lille,Other,,,
Aerix Systems,1600000,Seed,"BACS-Innov, Bpifrance, Defense Angels, INSEAD Business Angels Alumni France, Les Business Angels des Grandes Écoles, Région Nouvelle-Aquitaine, Starburst Accelerator, Techno'Start",2024-02-22,https://www.aerix-systems.com,"Aerix Systems operates in sectors such as aerospace and drones, providing products and services that leverage its expertise in these areas.",Mérignac,Drones,SpaceTech & Aerospace,,
Quantiq.io,1600000,Seed,"Graines de Boss, Sylvain Grande, The Moon Venture",2024-06-14,https://quantiq.io,"Quantiq.io operates in sectors such as artificial intelligence, health care, and health diagnostics, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,Artificial Intelligence,MedTech,
Entroview,1600000,Seed,"AFI Ventures, Etienne Hermite, Exergon, Florian Douetteau, Holnest, Kima Ventures, Linksium, Nicolas Steegmann, Rethink Ventures, Thibaud Elziere, Wind",2024-06-04,https://entroview.com,"Entroview operates in sectors such as environmental consulting and renewable energy, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,Energy,,
C & Dac,1600000,,"Alsace Business Angels, GROUPE ILP, YEAST",2024-10-01,https://www.cetdac.com/,"C & Dac operates in sectors such as food and beverage, food processing, and organic food, providing products and services that leverage its expertise in these areas.",Vandoeuvre-lès-nancy,Mobility,FoodTech,,
KAHE Nautic,1504005,Crowdfunding,,2024-04-22,https://en.kahe-nautic.com,"KAHE Nautic operates in sectors such as manufacturing and marine technology, providing products and services that leverage its expertise in these areas.",Lacanau,Hardware,,,
CAD.42,1500000,Series A,Socadif,2024-09-12,https://cad42.com/,"CAD.42 operates in sectors such as consumer electronics, information technology, and location based services, providing products and services that leverage its expertise in these areas.",Paris,SaaS,,,
Air Booster,1500000,Series A,Team for the Planet,2024-03-25,https://www.airbooster.fr,Air Booster is a company specializing in renewable energy solutions.,Le Haillan,CleanTech,Energy,,
A.M.A Selections,1500000,Seed,"Nevzat Aydın, Tandem Venture Capital",2024-10-01,https://amaselections.com/,"A.M.A Selections operates in sectors such as hospitality, leisure, and marketplace, providing products and services that leverage its expertise in these areas.",Cannes,PropTech,E-commerce & Retail,,
Entoinnov,1500000,Seed,"Alsace Business Angels, GROUPE ILP, I-Neo capital, YEAST",2024-10-02,https://www.entoinnov.com,"Entoinnov operates in sectors such as agriculture, agtech, and biotechnology, providing products and services that leverage its expertise in these areas.",Vandoeuvre-lès-nancy,BioTech,AgriTech,,
Minitrucks Robotics,1500000,Seed,Demeter,2024-01-11,https://www.minitrucks.fr,"Minitrucks Robotics operates in sectors such as construction, manufacturing, and transportation, providing products and services that leverage its expertise in these areas.",Portes-lès-valence,Mobility,Robotics,,
Tulyp,1500000,Seed,"Kima Ventures, Purple Ventures, Speedinvest",2024-05-16,https://tulyp.io/#top,"Tulyp operates in sectors such as finance, financial services, and insurance, providing products and services that leverage its expertise in these areas.",Paris,InsurTech,FinTech,,
PureNat,1500000,Seed,,2024-03-01,https://www.pure-nat.com,"PureNat operates in sectors such as environmental engineering, greentech, and pollution control, providing products and services that leverage its expertise in these areas.",Anglet,CleanTech,,,
Up&Charge,1500000,Seed,"Banque Populaire Rives de Paris, BNP Paribas, Bpifrance, Paris Business Angels",2024-07-24,https://www.upandcharge.com,"Up&Charge operates in sectors such as charging infrastructure, electrical distribution, and greentech, providing products and services that leverage its expertise in these areas.",Issy-les-moulineaux,Mobility,,,
Survoltage,1500000,Seed,,2024-10-17,https://www.survoltage.fr,"Survoltage operates in sectors such as electronics, energy, and energy management, providing products and services that leverage its expertise in these areas.",Grenoble,Energy,,,
Ekip,1500000,Seed,Share Invest,2024-11-07,https://www.ekip.app/,"Ekip operates in sectors such as consulting, coupons, and food and beverage, providing products and services that leverage its expertise in these areas.",Annecy,Mobility,FoodTech,,
Reyouzz,1500000,Seed,,2024-06-24,https://reyouzz.fr,Reyouzz is a company providing innovative solutions in its industry.,Lille,Other,,,
Valueco,1500000,Seed,"115K, Techstars",2024-11-15,https://www.valuecometrics.com,"Valueco operates in sectors such as asset management, cleantech, and finance, providing products and services that leverage its expertise in these areas.",Paris,FinTech,CleanTech,,
Kepplair Evolution,1500000,Seed,,2024-12-01,https://kepplair-evolution.com/en/,"Kepplair Evolution operates in sectors such as aerospace and manufacturing, providing products and services that leverage its expertise in these areas.",Saint-honoré,SpaceTech & Aerospace,,,
Solteo,1500000,Seed,"Axeleo Capital, Campus Fund, Kima Ventures",2024-11-21,https://www.solteo.fr/,"Solteo operates in sectors such as energy, project management, and software engineering, providing products and services that leverage its expertise in these areas.",Paris,Energy,,,
AIA Sports,1500000,Seed,,2024-11-21,https://www.aiasports.fr,"AIA Sports operates in sectors such as rugby, software, and sports, providing products and services that leverage its expertise in these areas.",Bidart,Other,,,
Lynx Educate,1500000,Seed,Southern New Hampshire University,2024-01-15,https://www.lynxeducate.com,"Lynx Educate operates in sectors such as corporate training, edtech, and education, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,
En Carta Diagnostics,1500000,Pre-Seed,CentraleSupélec Venture,2024-05-22,https://www.encarta.bio/,"En Carta Diagnostics operates in sectors such as biotechnology, health diagnostics, and medical device, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,MedTech,BioTech,
Darwin,1500000,Pre-Seed,Asterion Ventures,2024-11-28,https://darwindata.io/,"Darwin operates in sectors such as artificial intelligence, big data, and sustainability, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,Artificial Intelligence,,
Mago,1500000,Pre-Seed,Atlantic,2024-11-26,https://mago.studio/,Mago is a company providing innovative solutions in its industry.,Paris,Other,,,
PlayMakers,1500000,Pre-Seed,"Hugues OUVRARD, RockawayX, Sebastien Borget, v3ntures, Vincent Hart de Keating",2024-02-26,https://www.playmakers.co/,"PlayMakers operates in sectors such as content, gaming, and software, providing products and services that leverage its expertise in these areas.",Paris,Gaming,,,
appYuser INSIGHT,1500000,Series A,,2024-03-20,https://www.appyuser.com/en,"appYuser INSIGHT operates in sectors such as business development, digital media, and information technology, providing products and services that leverage its expertise in these areas.",Toulouse,Entertainment,,,
Skin and Out,1500000,Series A,"Bertrand Thomas, Mathilde Thomas",2024-03-15,https://www.skinandout.fr,"Skin and Out operates in sectors such as manufacturing and personal care and hygiene, providing products and services that leverage its expertise in these areas.",Francheville,Hardware,HealthTech,,
Nemes Paris,1500000,Series A,,2024-11-07,https://nemes.com,"Nemes Paris operates in sectors such as information technology, jewelry, and retail, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,E-commerce & Retail,,
Hemera,1500000,,"Caisse d'Epargne Aquitaine Poitou-Charentes, Crédit Mutuel Arkéa, Julien Parrou-Duboscq",2024-09-05,http://www.hemera.camp/fr/,Hemera is a company specializing in communities solutions.,Gironde,Other,,,
Pandobac,1500000,,"BNP Paribas Développement, Cenitz",2024-01-19,https://pandobac.com/,Pandobac is a company providing innovative solutions in its industry.,Rungis,Other,,,
OuiLive,1500000,,"Club Invest Ile de France, Investessor, The Moon Venture, WeLikeStartup",2024-11-07,https://www.ouilive.co/,"OuiLive operates in sectors such as collaboration, consulting, and human resources, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
FINALLI,1500000,,"Credit Agricole Aquitaine Expansion, GSO Innovation",2024-03-28,https://finalli.com,"FINALLI operates in sectors such as consulting, finance, and financial services, providing products and services that leverage its expertise in these areas.",Bordeaux,FinTech,,,
Geolinks,1500000,,EIT InnoEnergy,2024-04-25,https://geolinks-services.com/,"Geolinks operates in sectors such as energy management, energy storage, and oil and gas, providing products and services that leverage its expertise in these areas.",Paris,Energy,,,
Rematch,1500000,,"Bpifrance, Crowdcube, Intervalle Capital, RightBear Holding",2024-04-25,https://www.rematch.tv/en/,"Rematch operates in sectors such as hockey, outdoors, and sports, providing products and services that leverage its expertise in these areas.",Bordeaux,Other,,,
Enogrid,1406700,Crowdfunding,"ENGIE Rassembleurs d'Energies initiative, Schneider Electric Energy Access Asia",2024-11-01,https://www.enogrid.com/,"Enogrid operates in sectors such as environmental consulting and service industry, providing products and services that leverage its expertise in these areas.",Orléans,CleanTech,,,
Jinko,1400000,Seed,"360 Capital, AFI Ventures, Ventech",2024-09-17,https://www.jinko.care/,"Jinko operates in sectors such as health care, hospital, and medical, providing products and services that leverage its expertise in these areas.",Saint-denis-de-pile,HealthTech,,,
Willy anti-gaspi,1400000,Seed,,2024-09-12,https://willyantigaspi.fr,Willy anti-gaspi is a company specializing in retail solutions.,Saint-ouen,Artificial Intelligence,E-commerce & Retail,,
Green Praxis,1400000,Seed,"AFI Ventures, Open CNP",2024-03-20,http://www.greenpraxis.com,Green Praxis is a company specializing in analytics solutions.,Marseille,Other,,,
L'Atout,1400000,Seed,Paris Region Venture Fund,2024-03-12,https://www.latout.app,"L'Atout operates in sectors such as apps and employee benefits, providing products and services that leverage its expertise in these areas.",Paris,Other,,,
Nova Carbon,1400000,Seed,"AFI Ventures, Bleu Capital, Epopée Gestion, Kima Ventures, UI Investissement",2024-06-04,https://www.nova-carbon.com/,Nova Carbon is a company specializing in manufacturing solutions.,Bordeaux,Hardware,CleanTech,,
Kamae,1400000,Seed,"Adnexus, Auriga Cyber Ventures, Financière de l'Intendance, Super Capital VC, Vif",2024-03-19,https://kamae.fr,"Kamae operates in sectors such as cyber security, developer platform, and software, providing products and services that leverage its expertise in these areas.",Paris,Mobility,Cybersecurity,,
MedSmart,1400000,Seed,,2024-02-26,https://medsmart.fr,"MedSmart operates in sectors such as health care, health insurance, and insurtech, providing products and services that leverage its expertise in these areas.",Neuilly-sur-seine,HealthTech,InsurTech,,
